longitude,latitude,score,provincia
8.7124842876,45.5571745636,0.0,Milano
8.7125072366,45.55267409599999,0.0,Milano
8.7125301801,45.5481736248,0.0,Milano
8.712553118200002,45.54367314999999,0.0,Milano
8.7125760509,45.539172671699994,0.0,Milano
8.7126677274,45.52117072269999,0.0,Milano
8.7188232043,45.570691896700005,0.0,Milano
8.7188456579,45.5661914373,0.0,Milano
8.7188681061,45.561690974399994,0.0,Milano
8.7188905491,45.5571905078,0.0,Milano
8.7189129868,45.55269003770001,0.0,Milano
8.7189354191,45.54818956399999,0.0,Milano
8.7189578461,45.54368908680001,0.0,Milano
8.7189802679,45.5391886059,0.0,Milano
8.7190026843,45.534688121500004,0.0,Milano
8.7190250954,45.53018763359999,0.0,Milano
8.7190475012,45.525687142,0.0,Milano
8.7190699017,45.5211866469,0.0,Milano
8.7190922969,45.5166861483,0.0,Milano
8.7252748844,45.5617065617,0.0,Milano
8.7252968159,45.55720609269999,0.0,Milano
8.7253187423,45.55270562020001,0.0,Milano
8.7253406634,45.548205144099995,0.0,Milano
8.7253625793,45.543704664399996,0.0,Milano
8.7253844901,45.5392041811,0.0,Milano
8.7254063957,45.53470369429999,0.0,Milano
8.7254282961,45.5302032039,0.0,Milano
8.7254501913,45.52570270999999,0.0,Milano
8.7254720814,45.5212022124,0.0,Milano
8.7254939662,45.516701711299994,0.0,Milano
8.7255158459,45.5122012066,0.0,Milano
8.7255377204,45.5077006984,0.0,Milano
8.7317030879,45.55722131840001,0.0,Milano
8.7317245029,45.5527208435,0.0,Milano
8.7317459129,45.548220365,0.0,Milano
8.7317673177,45.5437198829,0.0,Milano
8.7317887176,45.5392193973,0.0,Milano
8.7318101123,45.53471890809998,0.0,Milano
8.731831502,45.5302184153,0.0,Milano
8.7318528866,45.525717919,0.0,Milano
8.7318742662,45.5212174191,0.0,Milano
8.7318956407,45.5167169156,0.0,Milano
8.7319170101,45.5122164086,0.0,Milano
8.7319383745,45.50771589800001,0.0,Milano
8.7319597339,45.503215383800004,0.0,Milano
8.738109365,45.5572361848,0.0,Milano
8.7381302687,45.5527357076,0.0,Milano
8.7381511674,45.5482352268,0.0,Milano
8.738172061200002,45.543734742400005,0.0,Milano
8.7381929501,45.5392342544,0.0,Milano
8.738213834,45.534733762900004,0.0,Milano
8.7382347129,45.53023326779999,0.43204368948563876,Milano
8.738255587,45.52573276919999,0.4312586328600618,Milano
8.738276456,45.521232266999995,0.0,Milano
8.7382973202,45.51673176119999,0.0,Milano
8.738318179400002,45.51223125180001,0.0,Milano
8.7383390337,45.507730738899994,0.0,Milano
8.738359883,45.50323022239999,0.0,Milano
8.7383807275,45.49872970229999,0.0,Milano
8.744454441,45.570752109100006,0.0,Milano
8.7444952498,45.561751167900006,0.0,Milano
8.744515647,45.557250692,0.0,Milano
8.7445360394,45.55275021250001,0.0,Milano
8.7445564269,45.54824972939999,0.0,Milano
8.7445768096,45.5437492428,0.0,Milano
8.7445971875,45.539248752499994,0.0,Milano
8.7446175606,45.53474825880001,0.0,Milano
8.7446379288,45.530247761399984,0.3983634729455114,Milano
8.7446582922,45.525747260500005,0.0,Milano
8.7446786508,45.521246756,0.0,Milano
8.7446990046,45.51674624799999,0.0,Milano
8.7447193536,45.5122457363,0.0,Milano
8.7447396978,45.5077452211,0.0,Milano
8.7447600371,45.50324470239999,0.0,Milano
8.7447803717,45.49874418000001,0.0,Milano
8.7508622625,45.57076626359999,0.0,Milano
8.7508821577,45.56626579260001,0.0,Milano
8.7509020481,45.561765318000006,0.0,Milano
8.750921933900003,45.5572648399,0.0,Milano
8.7509418149,45.552764358199994,0.0,Milano
8.7509616912,45.548263872899994,0.0,Milano
8.7509815629,45.54376338400001,0.0,Milano
8.7510014298,45.539262891599996,0.0,Milano
8.751021292,45.534762395600005,0.0,Milano
8.7510411495,45.5302618961,0.0,Milano
8.7510610023,45.5257613929,0.0,Milano
8.7510808505,45.52126088629999,0.0,Milano
8.7511006939,45.516760375999986,0.0,Milano
8.7511205326,45.5122598622,0.0,Milano
8.7511403667,45.5077593448,0.0,Milano
8.751160196,45.5032588238,0.0,Milano
8.7511800207,45.4987582993,0.0,Milano
8.7572700888,45.5707800587,0.0,Milano
8.7572894723,45.5662795855,0.0,Milano
8.7573088511,45.5617791088,0.0,Milano
8.7573282254,45.55727862849999,0.0,Milano
8.7573475951,45.5527781446,0.0,Milano
8.7573669603,45.54827765720001,0.0,Milano
8.7573863208,45.543777166199995,0.0,Milano
8.7574056767,45.5392766716,0.0,Milano
8.7574250281,45.53477617349999,0.0,Milano
8.7574443749,45.530275671800005,0.0,Milano
8.7574637171,45.52577516649999,0.0,Milano
8.7574830548,45.521274657700005,0.0,Milano
8.7575023879,45.516774145300005,0.0,Milano
8.7575217164,45.5122736293,0.0,Milano
8.7575410403,45.5077731098,0.0,Milano
8.7575603596,45.5032725866,0.0,Milano
8.7575796744,45.49877206,0.0,Milano
8.7636590434,45.57529396609999,0.0,Milano
8.7636779197,45.5707934944,0.0,Milano
8.7636967914,45.566293019099994,0.0,Milano
8.7637156587,45.56179254029999,0.0,Milano
8.7637345216,45.55729205789999,0.0,Milano
8.7637533799,45.5527915719,0.0,Milano
8.7637722339,45.54829108239999,0.0,Milano
8.7637910833,45.543790589299995,0.0,Milano
8.7638099283,45.539290092600005,0.0,Milano
8.7638287688,45.534789592399996,0.0,Milano
8.7638476049,45.53028908860001,0.0,Milano
8.7638664365,45.5257885812,0.0,Milano
8.763885263700002,45.521288070299995,0.0,Milano
8.7639040864,45.5167875558,0.0,Milano
8.7639229046,45.5122870377,0.0,Milano
8.7639417184,45.5077865161,0.0,Milano
8.7639605278,45.50328599089999,0.0,Milano
8.7639793327,45.49878546210001,0.0,Milano
8.7639981332,45.49428492980001,0.0,Milano
8.7700306487,45.5843079811,0.0,Milano
8.7700490218,45.5798075145,0.0,Milano
8.7700673906,45.575307044400006,0.0,Milano
8.770085755,45.5708065706,0.0,Milano
8.7701041151,45.56630609329999,0.0,Milano
8.7701224708,45.5618056125,0.0,Milano
8.7701408222,45.55730512800001,0.44375489712794797,Milano
8.7701591692,45.55280464,0.4434193514809047,Milano
8.7701775119,45.54830414839999,0.0,Milano
8.7701958503,45.5438036533,0.0,Milano
8.7702141843,45.53930315459999,0.0,Milano
8.770232514,45.53480265230001,0.0,Milano
8.7702508393,45.530302146500006,0.0,Milano
8.7702691603,45.5258016371,0.0,Milano
8.770287477,45.52130112409999,0.0,Milano
8.7703057894,45.51680060759999,0.0,Milano
8.7703240974,45.51230008749999,0.0,Milano
8.7703424011,45.507799563800006,0.0,Milano
8.7703607004,45.50329903659999,0.0,Milano
8.7703789954,45.4987985058,0.0,Milano
8.7703972861,45.49429797140001,0.0,Milano
8.7704155725,45.48979743339999,0.0,Milano
8.7764400241,45.58432070389999,0.0,Milano
8.7764578852,45.5798202353,0.0,Milano
8.776475742,45.57531976319999,0.0,Milano
8.7764935946,45.570819287400006,0.0,Milano
8.776511443,45.5663188082,0.0,Milano
8.7765292872,45.5618183253,0.0,Milano
8.7765471271,45.5573178389,0.4492701473243536,Milano
8.7765649628,45.5528173489,0.4238420233249856,Milano
8.7765827943,45.5483168553,0.0,Milano
8.7766006216,45.543816358200004,0.0,Milano
8.7766184447,45.53931585749999,0.0,Milano
8.7766362635,45.5348153533,0.0,Milano
8.7766540781,45.5303148455,0.0,Milano
8.7766718885,45.52581433409999,0.0,Milano
8.7766896947,45.521313819099994,0.0,Milano
8.7767074967,45.51681330059999,0.0,Milano
8.7767252945,45.5123127785,0.0,Milano
8.776743088,45.50781225290001,0.0,Milano
8.7767608774,45.50331172360001,0.0,Milano
8.7767786625,45.4988111909,0.0,Milano
8.7767964434,45.4943106545,0.0,Milano
8.7768142202,45.489810114600004,0.0,Milano
8.7768319927,45.4853095711,0.0,Milano
8.7828320507,45.58883353400001,0.0,Milano
8.7828494039,45.58433306709999,0.0,Milano
8.7828667529,45.5798325966,0.4487637095460049,Milano
8.7828840978,45.575332122499994,0.41894597030136527,Milano
8.7829014385,45.570831644799995,0.0,Milano
8.7829187752,45.566331163600005,0.0,Milano
8.7829361078,45.56183067880001,0.0,Milano
8.7829534363,45.55733019049999,0.0,Milano
8.7829707607,45.55282969859999,0.0,Milano
8.782988081,45.548329203099996,0.0,Milano
8.7830053971,45.54382870399999,0.0,Milano
8.7830227092,45.5393282014,0.0,Milano
8.7830400172,45.5348276952,0.0,Milano
8.7830573211,45.53032718549999,0.0,Milano
8.7830746209,45.52582667219999,0.0,Milano
8.7830919166,45.5213261553,0.0,Milano
8.7831092082,45.5168256349,0.0,Milano
8.7831264957,45.512325110899994,0.0,Milano
8.7831437792,45.5078245833,0.0,Milano
8.7831610585,45.5033240521,0.0,Milano
8.783178333800002,45.4988235174,0.0,Milano
8.7831956049,45.49432297909999,0.0,Milano
8.783212872,45.48982243729999,0.0,Milano
8.7892082529,45.5978464664,0.0,Milano
8.7892251018,45.5933460047,0.0,Milano
8.7892419467,45.58884553950001,0.0,Milano
8.7892587877,45.58434507059999,0.0,Milano
8.7892756246,45.5798445983,0.4773043102949774,Milano
8.7892924576,45.575344122299995,0.4589332962932937,Milano
8.7893092865,45.5708436428,0.0,Milano
8.7893261115,45.56634315969999,0.0,Milano
8.7893429325,45.561842673,0.0,Milano
8.7893597496,45.55734218280001,0.0,Milano
8.7893765626,45.552841689000005,0.0,Milano
8.7893933717,45.54834119169999,0.0,Milano
8.7894101768,45.5438406908,0.0,Milano
8.7894269779,45.53934018630001,0.0,Milano
8.789443775,45.5348396782,0.0,Milano
8.7894605682,45.53033916659999,0.0,Milano
8.7894773574,45.5258386514,0.0,Milano
8.7894941426,45.521338132699995,0.0,Milano
8.7895109238,45.516837610399996,0.0,Milano
8.7895277011,45.5123370845,0.0,Milano
8.7895444744,45.50783655499998,0.0,Milano
8.7895612438,45.503336022000006,0.0,Milano
8.7895780091,45.4988354855,0.0,Milano
8.7895947705,45.4943349453,0.0,Milano
8.789611528,45.48983440160001,0.0,Milano
8.7896282815,45.4853338543,0.0,Milano
8.7897119895,45.4628310644,0.0,Milano
8.7956028373,45.60235857579999,0.0,Milano
8.7956191776,45.597858115799994,0.0,Milano
8.7956355141,45.5933576523,0.0,Milano
8.7956518467,45.58885718529999,0.0,Milano
8.7956681755,45.58435671459999,0.0,Milano
8.7956845004,45.579856240400005,0.0,Milano
8.7957008214,45.5753557626,0.0,Milano
8.7957171385,45.570855281299984,0.0,Milano
8.7957334518,45.5663547964,0.0,Milano
8.7957497612,45.56185430789999,0.0,Milano
8.7957660668,45.5573538159,0.0,Milano
8.7957823685,45.552853320299995,0.0,Milano
8.7957986664,45.5483528211,0.0,Milano
8.7958149604,45.5438523184,0.0,Milano
8.7958312505,45.539351812099994,0.0,Milano
8.7958475368,45.5348513022,0.0,Milano
8.7958638192,45.530350788799986,0.0,Milano
8.7958800978,45.525850271799996,0.0,Milano
8.7958963725,45.52134975119999,0.0,Milano
8.795912643400001,45.5168492271,0.0,Milano
8.7959289104,45.5123486994,0.0,Milano
8.7959451736,45.50784816819999,0.0,Milano
8.795961433,45.503347633299995,0.0,Milano
8.7959776884,45.498847094999995,0.0,Milano
8.7959939401,45.49434655300001,0.0,Milano
8.7960101879,45.4898460075,0.0,Milano
8.7960264319,45.48534545839999,0.0,Milano
8.796042672,45.480844905699996,0.0,Milano
8.7960589082,45.47634434949999,0.0,Milano
8.7960751407,45.4718437897,0.0,Milano
8.7960913693,45.4673432264,0.0,Milano
8.7961075941,45.46284265940001,0.0,Milano
8.796123815,45.458342089,0.0,Milano
8.8020301062,45.5978694055,0.0,Milano
8.8020459303,45.5933689402,0.0,Milano
8.8020617506,45.58886847139999,0.0,Milano
8.8020775672,45.58436799900001,0.0,Milano
8.80209338,45.579867523,0.37271508520429175,Milano
8.802109189,45.575367043499995,0.38297396325675553,Milano
8.8021249944,45.5708665604,0.0,Milano
8.802140796,45.566366073699996,0.0,Milano
8.8021565938,45.5618655835,0.0,Milano
8.8021723879,45.5573650897,0.0,Milano
8.8021881783,45.55286459229999,0.0,Milano
8.8022039649,45.5483640914,0.0,Milano
8.8022197478,45.54386358690001,0.0,Milano
8.802235527,45.5393630789,0.0,Milano
8.8022513024,45.53486256730002,0.0,Milano
8.8022670741,45.5303620521,0.0,Milano
8.8022828421,45.5258615333,0.0,Milano
8.8022986063,45.521361011,0.0,Milano
8.8023143668,45.5168604851,0.0,Milano
8.8023301236,45.5123599557,0.0,Milano
8.8023458767,45.5078594226,0.0,Milano
8.802361626,45.5033588861,0.0,Milano
8.8023773716,45.49885834589999,0.0,Milano
8.8023931135,45.49435780219999,0.0,Milano
8.8024088516,45.48985725490001,0.0,Milano
8.8024245861,45.48535670409999,0.0,Milano
8.8024403168,45.4808561497,0.0,Milano
8.8024560438,45.4763555917,0.0,Milano
8.8024717671,45.47185503019999,0.0,Milano
8.8024874866,45.467354465,0.0,Milano
8.8025032025,45.46285389639999,0.0,Milano
8.802518914600002,45.4583533241,0.0,Milano
8.802534623,45.45385274829999,0.0,Milano
8.8084410386,45.5978803354,0.0,Milano
8.8084563502,45.5933798684,0.0,Milano
8.8084716582,45.5888793979,0.0,Milano
8.8084869626,45.58437892380001,0.0,Milano
8.8085022633,45.57987844609999,0.32633431874256036,Milano
8.808517560500002,45.575377964899985,0.0,Milano
8.808532854,45.57087748010001,0.0,Milano
8.8085481439,45.56637699169999,0.0,Milano
8.8085634301,45.5618764998,0.0,Milano
8.8085787128,45.5573760043,0.0,Milano
8.808593991800002,45.55287550520001,0.0,Milano
8.8086092672,45.5483750026,0.0,Milano
8.808624539,45.5438744964,0.0,Milano
8.8086398072,45.53937398659999,0.0,Milano
8.8086550718,45.534873473299996,0.0,Milano
8.8086703328,45.5303729564,0.0,Milano
8.8086855901,45.5258724359,0.0,Milano
8.8087008439,45.521371911900005,0.0,Milano
8.808716094,45.5168713843,0.0,Milano
8.8087313405,45.5123708532,0.0,Milano
8.8087465835,45.507870318500004,0.0,Milano
8.808761822800001,45.5033697802,0.0,Milano
8.8087770585,45.49886923830001,0.0,Milano
8.8087922906,45.4943686929,0.0,Milano
8.8088075191,45.489868144,0.0,Milano
8.808822744,45.4853675914,0.0,Milano
8.8088379653,45.4808670353,0.0,Milano
8.808853183,45.4763664756,0.0,Milano
8.8088683971,45.47186591239999,0.0,Milano
8.8088836077,45.4673653456,0.0,Milano
8.8088988146,45.46286477520001,0.0,Milano
8.8089140179,45.4583642013,0.0,Milano
8.8089292176,45.453863623800004,0.0,Milano
8.8089444138,45.4493630427,0.0,Milano
8.8089899806,45.43586127809999,0.0,Milano
8.8148815694,45.5888899647,0.0,Milano
8.8148963616,45.584389488899994,0.0,Milano
8.8149111503,45.579889009599995,0.19928864636634624,Milano
8.8149259355,45.5753885267,0.20610586521436233,Milano
8.8149407172,45.5708880403,0.0,Milano
8.8149554954,45.56638755029999,0.0,Milano
8.81497027,45.56188705670001,0.0,Milano
8.8149850412,45.5573865595,0.0,Milano
8.8149998089,45.552886058799984,0.0,Milano
8.8150145731,45.548385554599996,0.0,Milano
8.8150293338,45.54388504669999,0.0,Milano
8.8150440911,45.539384535299995,0.0,Milano
8.8150588448,45.534884020299984,0.0,Milano
8.815073595,45.530383501799996,0.0,Milano
8.8150883418,45.5258829797,0.0,Milano
8.815103085,45.52138245399999,0.0,Milano
8.8151178248,45.5168819248,0.0,Milano
8.8151325611,45.512381391999995,0.0,Milano
8.8151472938,45.50788085570001,0.0,Milano
8.8151620232,45.5033803157,0.0,Milano
8.815176749,45.498879772200006,0.0,Milano
8.8151914713,45.4943792252,0.0,Milano
8.8152061902,45.48987867459999,0.0,Milano
8.8152209056,45.4853781204,0.0,Milano
8.8152356175,45.4808775626,0.0,Milano
8.8152503259,45.476377001299994,0.0,Milano
8.8152650308,45.4718764364,0.0,Milano
8.8152797323,45.467375868,0.0,Milano
8.815294430300002,45.46287529599999,0.0,Milano
8.8153091248,45.458374720399995,0.0,Milano
8.8153238159,45.4538741412,0.0,Milano
8.8153385034,45.44937355849999,0.0,Milano
8.8153531875,45.4448729723,0.0,Milano
8.8153678682,45.4403723824,0.0,Milano
8.8153825453,45.435871789000004,0.0,Milano
8.8213200408,45.5798992136,0.2017553022248173,Milano
8.821334314,45.575398729099994,0.2028378482368948,Milano
8.8213485839,45.5708982411,0.0,Milano
8.821362850400002,45.56639774949999,0.0,Milano
8.8213771135,45.5618972543,0.0,Milano
8.8213913732,45.5573967556,0.0,Milano
8.8214056296,45.55289625329999,0.0,Milano
8.8214198825,45.548395747399994,0.0,Milano
8.8214341321,45.543895238,0.0,Milano
8.8214483784,45.539394724999994,0.0,Milano
8.8214626213,45.53489420839999,0.0,Milano
8.8214768607,45.5303936883,0.0,Milano
8.8214910969,45.52589316459999,0.0,Milano
8.8215053296,45.52139263730001,0.0,Milano
8.821519559,45.51689210650001,0.0,Milano
8.8215337851,45.5123915721,0.0,Milano
8.8215480077,45.5078910342,0.0,Milano
8.821562227,45.5033904927,0.0,Milano
8.821576443000001,45.498889947599984,0.0,Milano
8.8215906555,45.4943893989,0.0,Milano
8.8216048647,45.4898888467,0.0,Milano
8.8216190706,45.48538829099999,0.0,Milano
8.8216332731,45.48088773159999,0.0,Milano
8.8216474722,45.476387168699986,0.0,Milano
8.821661668,45.4718866022,0.0,Milano
8.8216758604,45.4673860322,0.0,Milano
8.8216900495,45.462885458600006,0.0,Milano
8.8217042352,45.458384881499995,0.0,Milano
8.8217184176,45.4538843007,0.0,Milano
8.8217325966,45.44938371639999,0.0,Milano
8.8217467722,45.4448831286,0.0,Milano
8.8217609445,45.4403825371,0.0,Milano
8.8217751135,45.435881942200005,0.0,Milano
8.8218034413,45.42688074149999,0.0,Milano
8.8277289346,45.579909058000005,0.0,Milano
